Level,Code,Parent,Description
1,A,,AGRICULTURE AND FISHING
1,B,,MINING AND QUARRYING
1,C,,MANUFACTURING
1,D,,UTILITIES
1,F,,CONSTRUCTION
1,G,,WHOLESALE AND RETAIL TRADE AND REPAIR SERVICES
1,H,,TRANSPORTATION AND STORAGE
1,I,,"TOURISM, HOTELS AND FOOD SERVICES"
1,J,,COMMUNICATION SERVICES
1,K,,BUSINESS SERVICES
1,L,,REAL ESTATE ACTIVITIES
1,M,,"ENGINEERING, SCIENCE AND TECHNICAL SERVICES"
1,O,,PUBLIC ADMINISTRATION
1,P,,EDUCATION & HEALTH SERVICES
1,R,,"ARTS, ENTERTAINMENT AND RECREATION"
1,T,,OTHER
2,1,A,"Crop and animal production, hunting and related service activities"
2,2,A,Forestry and logging
2,3,A,Fishing and aquaculture
2,5,B,Mining of coal and lignite
2,6,B,Extraction of crude petroleum and natural gas
2,7,B,Mining of metal ores
2,8,B,Other mining and quarrying
2,9,B,Mining support service activities
2,10,C,Manufacture of food products
2,11,C,Manufacture of beverages
2,12,C,Manufacture of tobacco products
2,13,C,Manufacture of textiles
2,14,C,Manufacture of wearing apparel
2,15,C,Manufacture of leather and related products
2,16,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
2,17,C,Manufacture of paper and paper products
2,18,C,Printing and reproduction of recorded media
2,19,C,Manufacture of coke and refined petroleum products
2,20,C,Manufacture of chemicals and chemical products
2,21,C,Manufacture of basic pharmaceutical products and pharmaceutical preparations
2,22,C,Manufacture of rubber and plastic products
2,23,C,Manufacture of other non-metallic mineral products
2,24,C,Manufacture of basic metals
2,25,C,"Manufacture of fabricated metal products, except machinery and equipment"
2,26,C,"Manufacture of computer, electronic and optical products"
2,27,C,Manufacture of electrical equipment
2,28,C,Manufacture of machinery and equipment n.e.c.
2,29,C,"Manufacture of motor vehicles, trailers and semi-trailers"
2,30,C,Manufacture of other transport equipment
2,31,C,Manufacture of furniture
2,32,C,Other manufacturing
2,33,C,Repair and installation of machinery and equipment
2,35,D,"Electricity, gas, steam and air conditioning supply"
2,36,D,"Water collection, treatment and supply"
2,37,D,Sewerage
2,38,D,"Waste collection, treatment and disposal activities; materials recovery"
2,39,D,Remediation activities and other waste management services
2,41,F,Construction of buildings
2,42,F,Civil engineering
2,43,F,Specialised construction activities
2,45,G,Wholesale and retail trade and repair of motor vehicles and motorcycles
2,46,G,"Wholesale trade, except of motor vehicles and motorcycles"
2,47,G,"Retail trade, except of motor vehicles and motorcycles"
2,49,H,Land transport and transport via pipelines
2,50,H,Water transport
2,51,H,Air transport
2,52,H,Warehousing and support activities for transportation
2,53,H,Postal and courier activities
2,55,I,Accommodation
2,56,I,Food and beverage service activities
